event_menu;Evenement;Event;Evento;Gertaera
magasin_menu;Magasin;Shop;Tiendas;Denta
accueil_menu;Accueil;Home;Bienvenida;Ongi
spe_menu;SpÉcialitÉs;Specialties;Especialidades;Berezitasunak
produits_menu;Produits;Products;Productos;Produktuak
contact_menu;Contact;Contact;Contacto;Harremanetarako
recherche_menu;Recherche;Search;Búsqueda;Search
langue_menu;Langue;Language;Idioma;Hizkuntza
aide_menu;Aide;Help;Ayuda;Laguntza
connexion_menu;Connexion;Login;Registrarse;Login
preference_menu;PrÉfÉrence;Whish;Favoritos;Preference
panier_menu;Panier;Cart;Cesta;Basket
lang_spec;Fr;En;Es;Eus
error404;Erreur 404, Page non trouvée;Error 404, Page not found;Error 404 Página no encontrada;Ez Error 404 Page topatu
security_menu;Sécurité de paiement;Payment Security;Seguridad de los pagos;Ordainketa Segurantza
protectData_menu;Protection des données;Data protection;Protección de Datos;Datuen babesa
info_menu;Informations légales;Legal Information;Información Legal;Legezko Informazioa
connect_menu;Connectez-vous;Login;Iniciar Sesión;Login
register_menu;Inscription au site;Register;Registro del sitio;Gunearen erregistroa
newsLetter_menu;Inscription à la Newsletter;Sign-Up Newsletter ;Inscríbase al Boletín;Newsletter -Up
your_id;E-mail;E-mail;E-mail;E-mail
your_pw;Mot de Passe;Password;Contraseña;Pasahitza
loggin_mess;Déjà inscrit? Connectez-vous au plus vite pour profiter de tous vos avantages clients !;Already registered? Login faster to enjoy all benefits your customers !;¿Ya registrado? Acceda a más rápido para disfrutar de todos los beneficios de los clientes !;Dagoeneko erregistratuta? Azkarrago sartu Saioa guztia onuragarria da zure bezeroei gozatzeko!
loggin_errorForm;Veuillez saisir une adresse e-mail correcte.;Please enter a valid email address.;Por favor, introduce una dirección de correo electrónico válida.;Sartu baliozko helbide elektronikoa.
loggin_remember;Se souvenir de moi;Remember me;Recuérdame;Gogora nazazu
forgot_pw;Mot de passe oublié ?;Forgotten password?;¿Contraseña olvidada?;Ahaztu egin al zaizu?
force_area;*Champs obligatoire;*Required;*Requerido;*Beharrezko
connexion_button;Connexion;Login;Iniciar Sesión;Login
space_login;Espace Connexion;Login Area;Area Iniciar Sesión;Area Login
space_register;Espace Inscription;Register  you;Usted Regístrese;You izena
adv1_register;Cadeaux /Jeux promotionels;Gifts / Promotional games;Regalos / Juegos promocionales;Opariak / Sustapenerako games
adv2_register;Panier de commande;Basket;Cesta;Basket
adv3_register;Gestion des préférences;Managing preferences;Gestión de los preferencias;Preferences kudeatzea
adv4_register;Gestions de commentaires ,...;Comments managements ...;Gerencias comentarios ...;Zuzendaritzek iruzkinak ...
